name,category,price,billed_per,notes
Slippery Slope,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956691. https://innovativeinflatables.com/all-categories/interactive-inflatables/slippery-slope/
Soccer Darts,Inflatables,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956571. https://innovativeinflatables.com/all-categories/interactive-inflatables/soccer-darts/
Soccer Fever,Inflatables,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 1506935. https://innovativeinflatables.com/all-categories/interactive-inflatables/soccer-fever/
Sumo Suits,Inflatables,550,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956499. https://innovativeinflatables.com/all-categories/interactive-inflatables/summo-suits/
Triple Dome,Inflatables,600,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956729. https://innovativeinflatables.com/all-categories/interactive-inflatables/triple-dome/
Twister,Inflatables,300,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956501. https://innovativeinflatables.com/all-categories/interactive-inflatables/twister/
Two Lane Axe Throwing,Inflatables,550,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 1733545. https://innovativeinflatables.com/all-categories/interactive-inflatables/two-lane-axe-throwing/
Velcro Wall,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Interactive Inflatables. Supplier item ID 956503. https://innovativeinflatables.com/all-categories/interactive-inflatables/velcro-wall/
4-Player LED Air Hockey,Games,850,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1753601. https://innovativeinflatables.com/all-categories/games-activities/4-player-led-air-hockey/
Badminton,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956781. https://innovativeinflatables.com/all-categories/games-activities/badminton/
Balloon Pop,Games,55,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956797. https://innovativeinflatables.com/all-categories/games-activities/balloon-pop/
Big Buck Hunter,Games,550,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956765. https://innovativeinflatables.com/all-categories/games-activities/big-buck-hunter/
Bocce Ball,Games,80,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956771. https://innovativeinflatables.com/all-categories/games-activities/bocce-ball/
Bumper Pool,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956423. https://innovativeinflatables.com/all-categories/games-activities/bumper-pool/
Can Smash,Games,55,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956439. https://innovativeinflatables.com/all-categories/games-activities/can-smash/
Carnival 3-in-1,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 3218337. https://innovativeinflatables.com/all-categories/games-activities/carnival-3-in-1/
Chaos Arcade Game,Games,450,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956753. https://innovativeinflatables.com/all-categories/games-activities/chaos-arcade-game/
Claw Machine,Games,950,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 3204389. https://innovativeinflatables.com/all-categories/games-activities/claw-machine/
Cornhole w/Light-up Ring,Games,150,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1549667. https://innovativeinflatables.com/all-categories/games-activities/corn-hole-w-light-up-ring/
Croquet,Games,95,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956773. https://innovativeinflatables.com/all-categories/games-activities/crocket/
CRUIS'N EXOTICA - 2 Player,Games,1450,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 2789847. https://innovativeinflatables.com/all-categories/games/cruisn-exotica-2-player/
CRUIS'N USA,Games,750,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 2789787. (broken link on supplier site)
Dome Hockey,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956761. https://innovativeinflatables.com/all-categories/games-activities/dome-bubble-hockey/
Fish in a Bowl,Games,55,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956795. https://innovativeinflatables.com/all-categories/games-activities/fish-in-a-bowl/
Five-in-One Carnival,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956687. https://innovativeinflatables.com/all-categories/games-activities/five-in-one-carnival/
Flap Attack,Games,100,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1725873. https://innovativeinflatables.com/all-categories/games-activities/flap-attack/
Football Toss Electronic,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956509. https://innovativeinflatables.com/all-categories/games-activities/football-toss-electronic/
Giant Checkers,Games,250,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956701. https://innovativeinflatables.com/all-categories/games-activities/giant-checkers/
Giant Foosball,Games,750,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956757. https://innovativeinflatables.com/all-categories/games-activities/giant-foosball/
Giant Inflatable Chair,Games,250,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956373. https://innovativeinflatables.com/all-categories/games-activities/giant-inflatable-chair/
